id,LUAD_17T,LUAD_18T,LUAD_19T,LUAD_20T,LUAD_22T,LUAD_23T,LUAD_24T,LUAD_25T,LUAD_26T,LUAD_27T,LUAD_28T,LUAD_29T,LUAD_30T,LUAD_33T,LUAD_34T,LUAD_35T,LUAD_37T,LUAD_38T,LUAD_39T,LUAD_40T,LUAD_41T,LUAD_42T,LUAD_43T,LUAD_44T,LUAD_45T,LUAD_46T,LUAD_47T,LUAD_48T,LUAD_49T,LUAD_50T,LUAD_51T,LUAD_52T,LUAD_53T,LUAD_54T,LUAD_55T,LUAD_56T,LUAD_57T,LUAD_58T,LUAD_60T,LUAD_61T,LUAD_90T,LUAD_91T,LUAD_17N,LUAD_18N,LUAD_19N,LUAD_20N,LUAD_22N,LUAD_23N,LUAD_24N,LUAD_25N,LUAD_26N,LUAD_27N,LUAD_28N,LUAD_29N,LUAD_30N,LUAD_33N,LUAD_34N,LUAD_35N,LUAD_37N,LUAD_38N,LUAD_39N,LUAD_40N,LUAD_41N,LUAD_42N,LUAD_44N,LUAD_45N,LUAD_46N,LUAD_47N,LUAD_48N,LUAD_49N,LUAD_50N,LUAD_51N,LUAD_52N,LUAD_53N,LUAD_54N,LUAD_55N,LUAD_56N,LUAD_57N,LUAD_60N,LUAD_61N,LUAD_90N,LUAD_91N
P28324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289324075.5,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P28329,0.0,0.0,0.0,0.0,0.0,49522302.87,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,136151260.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P28347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P28370,0.0,0.0,109281824.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,64964028.32,115491548.3,0,0.0,119761581.9,0.0,0.0,0.0,0.0,0.0,0.0,125579235.1,0.0,127095611.9,0.0,0.0,132140696.1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248823846.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P28482,182183644.6,0.0,0.0,0.0,0.0,129773605.7,77459685.97,0.0,0,102206767.8,119258784.3,0.0,0.0,0.0,0,77173736.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271511550.2,0.0,0.0,0.0,0.0,0.0,0.0,251200812.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121326440.3,230229098.6,0.0,0.0,0.0,0.0,96217981.81,221385959.2,240990979.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,135538067.6,137226078.5,239772060.4,0.0,0.0,0.0,253599247.8,0.0,0.0,70077730.97,0.0,0.0,75190429.89,0.0,97872961.88,0.0,0.0,0.0,117285977.9,0.0,0.0
P28715,261631566.9,112852606.2,336607474.7,240698912.6,212898687.0,213263908.6,480750744.0,281397983.4,0,258116235.7,330292860.7,90688813.12,157606856.6,0.0,244250936,163854573.3,369549745.7,123338090.8,257476912.8,424588003.7,566671043.2,72945146.11,251373825.0,384764125.3,220502784.0,258228663.8,249392495.2,126543703.7,132506796.1,118926911.6,356250618.3,123987720.6,190836058.0,140781240.7,260831089,372215603.7,283355982.9,99406925.04,176999888.7,483573761.6,0.0,0.0,0.0,105009049.3,231943918.8,123982032.7,116843524.5,113347688.8,106062081.8,0.0,115638689.8,0.0,79172049.66,0.0,86100558.51,246398383.0,115467365.3,91107353.43,232778500,0.0,0,266523895.2,0.0,93414030.2,131391258.3,215287591.0,129727763.6,124661373.9,0.0,112748583.4,45002030.97,122908930.5,129160541.5,0.0,80702115.94,207372023.8,267098549.1,186502615.1,86119242.76,116645777.9,125584965.7,0.0
P28799,78266022.29,0.0,0.0,0.0,0.0,0.0,84543885.97,0.0,0,0.0,0.0,83159413.12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,132689370.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44964730.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P28827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P28838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,269435784.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P29317,83937722.29,0.0,99329924.93,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,133203677.9,133103840.8,0.0,0.0,0.0,107141892.0,0.0,123308077.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,124200508.4,0.0,106462440.3,105439049.3,109630859.4,121631432.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102421513.4,84234958.51,0.0,0.0,0.0,0,0.0,0,133733267.6,135931678.5,0.0,0.0,0.0,0.0,122690373.9,0.0,0.0,0.0,0.0,0.0,77780729.89,0.0,102349061.9,89211683.05,91458207.55,0.0,0.0,0.0,0.0
